id,username,created_at,lng,lat,text
1518417099856646145,gcd553,Mon Apr 25 02:30:22 +0000 2022,-117.585658,33.859093,@Galaxysseus Pulisic bailed him out! 😂
1518417099101814784,ACLadyMavsBball,Mon Apr 25 02:30:21 +0000 2022,-84.094745,36.160921,A great night celebrating a special group of young ladies at the Lady Mavericks Basketball banquet! https://t.co/3WxgN6lC0E
1518417100792123393,gothrot666,Mon Apr 25 02:30:22 +0000 2022,-122.4359785,37.7706565,I haven’t listened to any of the live vinyls for my mental health
1518417101521920000,OnceUponARoss,Mon Apr 25 02:30:22 +0000 2022,-71.4218325,41.817084,@ropeuhdope2 @Phil_Lewis_ He wasn’t charged at all you idiot
1518417101530271745,yami_kani,Mon Apr 25 02:30:22 +0000 2022,-83.645809,41.3870895,@mkwailae I admire the easiness with which you write. You make writing look very simple.
1518417102717304832,Scottvickers27,Mon Apr 25 02:30:22 +0000 2022,-88.3361185,41.690507999999994,@jrichardgoodman Golf hardest sport I ever played. But man is it fun
1518417103199551493,PrettyGang713,Mon Apr 25 02:30:22 +0000 2022,-86.791549,36.200008,As a Water sign with 8H placements....I don't think that I would do well as anything else.
1518417103300165633,ArmandDoma,Mon Apr 25 02:30:22 +0000 2022,-122.4359785,37.7706565,Obama with Macron as his VP
1518417103392587776,_micahroberson_,Mon Apr 25 02:30:22 +0000 2022,-95.99017549999999,30.083158,way before corona we been masked up
1518417103132368896,Nurgle_Nernan,Mon Apr 25 02:30:22 +0000 2022,-123.02244999999999,45.005514000000005,"Was running out of cabinet space, so got one of them fancy Ikea cabinets 🤓 Am I hip now? https://t.co/uX7m2sSmLr"
1518417105267396614,Deangetsabigcup,Mon Apr 25 02:30:23 +0000 2022,-91.40100849999999,30.937336000000002,@Ek7_PrN Yes.   It was inevitable.  They no longer have kids and family’s best interest in mind so they gotta go.… https://t.co/TcFd3jLhI0
1518417105569386497,JBrown5944,Mon Apr 25 02:30:23 +0000 2022,-97.552161,35.4828435,@iwillalwaysrise Carrie Fishers mother was Shirley McLain.
1518417105963692033,2KEEMdomCome,Mon Apr 25 02:30:23 +0000 2022,-86.119013,33.436509,GET TO FUCKIN WRITING!!
1518417106756259841,Nemeton18,Mon Apr 25 02:30:23 +0000 2022,-122.4359785,37.7706565,@Life_IsABanquet @emmmlau @Urbanartist2 @BristolCorvid @GhostWilber With you on that. To each their own
1518417108316704770,AshNVarner,Mon Apr 25 02:30:24 +0000 2022,-77.1719965,38.884281,"Meatloaf is special to me. When I get bad news, I play this. https://t.co/qFuVSycqUN"
1518417109444792320,Yeezypopz,Mon Apr 25 02:30:24 +0000 2022,-159.4625795,21.877461500000003,@jimcramer Cramer you are a 🤡 #bearstearns
1518417109520420867,ordatcsteve,Mon Apr 25 02:30:24 +0000 2022,-81.404855,30.27988,@aimeespins1970 @RebeccaforWA Or $100 why think so small
1518417112783626240,cmire28,Mon Apr 25 02:30:25 +0000 2022,-90.833088,29.7945535,Giving a blow job in Geaux fish parking lot is wild😂😂
